_is_fact,_is_query,_is_rule,_text,corefLemmaSeq,depSeq,lemmaSeq,posSeq,tagSeq
0,0,0,"hope is to empower cases that can lead to exploration of techniques that combine multi-modal features towards applications like analysis,"," hope be to empower case that can lead to exploration of technique that combine multi - modal feature towards application like analysis ,", nsubj ROOT aux xcomp dobj nsubj aux relcl prep pobj prep pobj nsubj relcl dep dep amod dobj prep pobj prep pobj punct," hope be to empower case that can lead to exploration of technique that combine multi - modal feature towards application like analysis ,", NOUN AUX PART VERB NOUN DET VERB VERB ADP NOUN ADP NOUN DET VERB ADJ ADJ ADJ VERB ADP NOUN SCONJ NOUN PUNCT," NN VBZ TO VB NNS WDT MD VB IN NN IN NNS WDT VBP JJ JJ JJ VBZ IN NNS IN NN ,"
0,0,0,"engines,"," engine ,", ROOT punct," engine ,", NOUN PUNCT," NNS ,"
0,0,0,"prediction,"," prediction ,", ROOT punct," prediction ,", NOUN PUNCT," NN ,"
0,0,0,"networks,"," network ,", ROOT punct," network ,", NOUN PUNCT," NNS ,"
0,0,0,"construction and search interfaces.
"," construction and search interface . 
", nmod cc conj ROOT punct ," construction and search interface . 
", NOUN CCONJ NOUN NOUN PUNCT SPACE, NN CC NN NNS . _SP
0,0,0,dataset is freely available via buckets (info here)., dataset be freely available via bucket ( info here ) ., nsubj ROOT advmod acomp prep pobj punct appos advmod punct punct, dataset be freely available via bucket ( info here ) ., PROPN AUX ADV ADJ ADP NOUN PUNCT NOUN ADV PUNCT PUNCT, NNP VBZ RB JJ IN NNS -LRB- NN RB -RRB- .
0,0,0,"Stay tuned for updates to dataset!
"," stay tuned for update to dataset ! 
", auxpass ROOT mark nsubj aux advcl punct ," stay tuned for update to dataset ! 
", VERB ADJ ADP NOUN PART VERB PUNCT SPACE, VB JJ IN NNS TO VB . _SP
0,0,0,"ArXiv is a collaboratively funded,"," ArXiv be a collaboratively fund ,", nsubj ROOT det advmod attr punct," ArXiv be a collaboratively fund ,", PROPN AUX DET ADV VERB PUNCT," NNP VBZ DT RB VBN ,"
0,0,0,"community-supported resource founded by Ginsparg in 1991 and maintained and operated by University.
"," community - support resource found by Ginsparg in 1991 and maintain and operate by University . 
", npadvmod punct amod ROOT acl agent pobj prep pobj cc conj cc conj agent pobj punct ," community - support resource found by Ginsparg in 1991 and maintain and operate by University . 
", NOUN PUNCT VERB NOUN VERB ADP PROPN ADP NUM CCONJ VERB CCONJ VERB ADP PROPN PUNCT SPACE, NN HYPH VBN NN VBN IN NNP IN CD CC VBD CC VBN IN NNP . _SP
0,0,0,release of dataset was featured further in post here., release of dataset be feature further in post here ., nsubjpass prep pobj auxpass ROOT advmod prep pobj advmod punct, release of dataset be feature further in post here ., NOUN ADP NOUN AUX VERB ADV ADP NOUN ADV PUNCT, NN IN NN VBD VBN RB IN NN RB .
